accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
5,1,2,2,250,4,15,2
1,1,1,1,68,1,1125,16
4,2,2,2,299,4,365,3
13,3,6,8,720,1,1125,1
2,1,1,1,200,1,1125,10
2,1,1,1,71,1,1125,1
2,1,1,1,125,1,4,149
6,1,2,2,145,1,1125,54
2,1,,,130,1,2,1
3,1,1,2,185,2,14,1
7,1,2,6,225,1,1125,11
4,2,2,2,130,1,1125,1
6,1.5,2,2,178,1,1125,4
1,1,1,1,80,3,32,98
1,1,1,1,90,3,1125,20
2,1,2,1,125,1,3,7
4,1,1,2,120,2,1125,85
1,1,0,1,80,3,9,0
2,1,1,1,100,2,1125,0
2,1,1,1,105,2,7,18
2,1,0,1,128,1,1125,7
6,1,2,4,300,1,1125,5
4,1.5,2,2,275,4,1125,19
3,1,1,1,200,2,1125,2
5,1,2,3,280,2,40,11
2,1.5,1,1,99,2,1125,20
5,2,2,2,175,1,1125,1
1,1,1,1,97,1,1125,15
3,1,1,2,130,3,1125,23
2,1,1,1,215,2,14,0
2,1,1,1,75,14,30,4
4,1,1,2,185,2,14,1
1,1,1,1,70,1,1125,19
2,1,0,1,97,1,1125,0
3,1,1,1,130,2,1125,2
2,1,1,1,120,1,1125,3
4,1,1,1,110,2,2,1
2,1.5,1,1,225,2,1125,2
4,1,1,3,140,1,1125,6
2,2,1,1,160,1,1125,8
2,1,1,1,125,1,110,116
2,1.5,1,1,150,3,1125,4
1,1,1,1,90,2,1125,4
16,8,8,16,1250,1,1125,0
8,2.5,4,4,390,2,1125,1
2,1,1,1,100,1,60,16
2,1,1,1,150,2,6,7
4,1,1,1,95,3,365,13
7,1.5,3,4,250,1,1125,6
2,1,1,1,65,1,29,26
1,1,1,1,70,4,1125,1
7,1.5,3,4,290,2,90,36
2,1,1,1,120,1,1125,133
6,1,1,3,130,2,1125,4
2,1,1,1,84,3,21,22
2,1,1,1,129,1,1125,1
3,1,0,1,125,1,1125,2
3,1,1,1,150,1,1125,5
